date,msci
09/15/2014,425.335
09/16/2014,426.504
09/17/2014,427.489
09/18/2014,428.839
09/19/2014,428.199
09/22/2014,424.558
09/23/2014,421.981
09/24/2014,423.722
09/25/2014,418.784
09/26/2014,419.754
09/29/2014,417.859
09/30/2014,416.850
10/01/2014,412.261
10/02/2014,409.616
10/03/2014,411.428
10/06/2014,413.002
10/07/2014,408.983
10/08/2014,411.097
10/09/2014,407.025
10/10/2014,400.451
10/13/2014,397.661
10/14/2014,397.058
10/15/2014,393.236
10/16/2014,392.130
10/17/2014,396.992
10/20/2014,399.940
10/21/2014,405.447
10/22/2014,404.824
10/23/2014,407.380
10/24/2014,409.228
10/27/2014,408.703
10/28/2014,413.242
10/29/2014,414.189
10/30/2014,414.937
10/31/2014,419.451
11/03/2014,417.224
11/04/2014,416.887
11/05/2014,418.317
11/06/2014,418.223
11/07/2014,417.945
11/10/2014,420.055
11/11/2014,420.366
11/12/2014,420.077
11/13/2014,420.193
11/14/2014,420.318
11/17/2014,419.609
11/18/2014,422.638
11/19/2014,421.926
11/20/2014,422.096
11/21/2014,425.311
11/24/2014,426.242
11/25/2014,426.746
11/26/2014,428.009
11/27/2014,427.317
11/28/2014,425.821
12/01/2014,422.836
12/02/2014,424.145
12/03/2014,425.027
12/04/2014,424.394
12/05/2014,424.752
12/08/2014,421.719
12/09/2014,420.220
12/10/2014,414.766
12/11/2014,414.335
12/12/2014,408.738
12/15/2014,403.610
12/16/2014,403.187
12/17/2014,407.265
12/18/2014,415.437
12/19/2014,418.196
12/22/2014,420.150
12/23/2014,420.082
12/24/2014,420.512
12/25/2014,420.390
12/26/2014,421.272
12/29/2014,422.049
12/30/2014,419.524
12/31/2014,417.120
01/01/2015,417.121
01/02/2015,415.918
01/05/2015,408.010
01/06/2015,404.051
01/07/2015,406.058
01/08/2015,413.842
01/09/2015,411.688
01/12/2015,409.874
01/13/2015,410.394
01/14/2015,407.404
01/15/2015,406.951
01/16/2015,409.620
01/19/2015,410.872
01/20/2015,411.825
01/21/2015,414.656
01/22/2015,418.520
01/23/2015,418.255
01/26/2015,419.210
01/27/2015,417.738
01/28/2015,413.918
01/29/2015,414.410
01/30/2015,410.328
02/02/2015,414.105
02/03/2015,419.243
02/04/2015,419.418
02/05/2015,422.185
02/06/2015,420.502
02/09/2015,418.861
02/10/2015,421.129
02/11/2015,419.946
02/12/2015,424.691
02/13/2015,427.786
02/16/2015,427.830
02/17/2015,428.199
02/18/2015,429.212
02/19/2015,429.602
02/20/2015,431.166
02/23/2015,431.618
02/24/2015,432.817
02/25/2015,433.463
02/26/2015,432.881
02/27/2015,432.474
03/02/2015,433.210
03/03/2015,431.351
03/04/2015,429.226
03/05/2015,429.769
03/06/2015,424.861
03/09/2015,424.286
03/10/2015,417.179
03/11/2015,416.763
03/12/2015,420.910
03/13/2015,418.580
03/16/2015,423.058
03/17/2015,422.688
03/18/2015,426.855
03/19/2015,426.618
03/20/2015,431.908
03/23/2015,432.925
03/24/2015,431.833
03/25/2015,428.254
03/26/2015,425.103
03/27/2015,424.888
03/30/2015,428.107
03/31/2015,424.758
04/01/2015,424.555
04/02/2015,427.453
04/03/2015,427.718
04/06/2015,431.353
04/07/2015,431.317
04/08/2015,432.469
04/09/2015,433.997
04/10/2015,435.931
04/13/2015,434.628
04/14/2015,436.113
04/15/2015,436.979
04/16/2015,438.287
04/17/2015,434.011
04/20/2015,435.818
04/21/2015,436.820
04/22/2015,438.118
04/23/2015,439.614
04/24/2015,441.565
04/27/2015,442.170
04/28/2015,442.631
04/29/2015,440.648
04/30/2015,436.296
05/01/2015,438.183
05/04/2015,439.032
05/05/2015,435.213
05/06/2015,434.744
05/07/2015,433.257
05/08/2015,439.276
05/11/2015,438.099
05/12/2015,436.868
05/13/2015,438.193
05/14/2015,441.220
05/15/2015,442.362
05/18/2015,442.615
05/19/2015,441.517
05/20/2015,441.350
05/21/2015,442.701
05/22/2015,441.322
05/25/2015,441.287
05/26/2015,435.927
05/27/2015,438.316
05/28/2015,437.387
05/29/2015,434.515
06/01/2015,434.232
06/02/2015,434.986
06/03/2015,436.440
06/04/2015,432.925
06/05/2015,429.378
06/08/2015,427.350
06/09/2015,426.952
06/10/2015,432.731
06/11/2015,433.279
06/12/2015,431.379
06/15/2015,428.111
06/16/2015,429.311
06/17/2015,429.155
06/18/2015,433.573
06/19/2015,432.181
06/22/2015,437.401
06/23/2015,437.527
06/24/2015,435.407
06/25/2015,434.250
06/26/2015,432.752
06/29/2015,423.349
06/30/2015,423.509
07/01/2015,426.015
07/02/2015,426.011
07/03/2015,425.079
07/06/2015,420.843
07/07/2015,419.239
07/08/2015,414.109
07/09/2015,417.124
07/10/2015,423.367
07/13/2015,427.188
07/14/2015,429.425
07/15/2015,429.013
07/16/2015,432.192
07/17/2015,431.955
07/20/2015,431.963
07/21/2015,431.222
07/22/2015,428.371
07/23/2015,427.183
07/24/2015,422.802
07/27/2015,419.379
07/28/2015,422.254
07/29/2015,425.639
07/30/2015,425.156
07/31/2015,426.781
08/03/2015,425.315
08/04/2015,424.915
08/05/2015,425.709
08/06/2015,423.186
08/07/2015,422.029
08/10/2015,426.354
08/11/2015,422.214
08/12/2015,419.874
08/13/2015,419.802
08/14/2015,420.293
08/17/2015,421.002
08/18/2015,419.633
08/19/2015,415.312
08/20/2015,408.567
08/21/2015,397.645
08/24/2015,382.361
08/25/2015,381.909
08/26/2015,388.964
08/27/2015,397.584
08/28/2015,399.561
08/31/2015,396.733
09/01/2015,386.167
09/02/2015,389.220
09/03/2015,391.029
09/04/2015,384.494
09/07/2015,384.647
09/08/2015,391.423
09/09/2015,392.544
09/10/2015,391.690
09/11/2015,391.957
09/14/2015,390.737
09/15/2015,393.688
09/16/2015,398.746
09/17/2015,398.767
09/18/2015,394.043
09/21/2015,392.994
09/22/2015,386.512
09/23/2015,384.851
09/24/2015,382.543
09/25/2015,384.300
09/28/2015,376.395
09/29/2015,374.058
09/30/2015,381.651
10/01/2015,383.232
10/02/2015,387.706
10/05/2015,395.123
10/06/2015,396.230
10/07/2015,399.982
10/08/2015,402.071
10/09/2015,404.805
10/12/2015,405.214
10/13/2015,401.802
10/14/2015,399.819
10/15/2015,405.492
10/16/2015,407.214
10/19/2015,406.514
10/20/2015,405.862
10/21/2015,404.598
